# Labelling sheet, contract v3. Rules: docs/research/pulse_label_instructions.md. No model output here; `mentions` comes from the entity detector and may be wrong.
# post https://t.me/rawa_imagination/21055 [mentions: ETH (confirmed)]: #крипто $ETH Зефир Витальевич делает пробой вверх после двухмесячной консолидации на колоссальном объеме. Это заявка на первый этап стартового альтсезона, если 2500 будет удержан. #не_ИИР
# post https://t.me/don_invest/5296 [mentions: none]: У кого хорошая видеокарта, пробуйте замайнить кота: https://hashcats.fun/mine Продажи от 400$ на opensea https://opensea.io/collection/hash-cats upd. нужно было заранее иметь 5-10 серверов с 5090 картами, тогда б было интересно. поищу себе недорогие варианты под такие случаи на будущее.
thread	comment_id	link	reply_to	chain	author	text	mentions	relevance	aspect	kind	summary	quote	context_ids	borderline	note
21055	342462	https://t.me/rawa_imagination/21055?comment=342462	post	[post]	u1	Но я утром смотрел там вверху эфира очень много шортов на ликвидацию было	эфира (ambiguous)								
21055	342484	https://t.me/rawa_imagination/21055?comment=342484	342482	[342482] сомнительные технологии после того как эфир делает то же самое, что они ← [342479] Ну те же l2, или какой-нибудь dot	u2	ладно, эфир по 10кило меня бы тоже устроил	эфир (ambiguous)								
21055	342490	https://t.me/rawa_imagination/21055?comment=342490	342489	[342489] и где вы видите эфир в рамках этого этапа? ← [342488] ну так первичный альтсезон это не финальная вспышка цикла, тут все скромнее обычно.	anon	до 4к дотянется - будет уже хорошо,									
21055	342526	https://t.me/rawa_imagination/21055?comment=342526	post	[post]	u8	2500 должен быть удержан на дневке?									
21055	342557	https://t.me/rawa_imagination/21055?comment=342557	post	[post]	u9	судя по всему хер это, а не пробой вверх. забор ликвидности это. но возможно здесь вайкоффа нарисуют. если это оно, то первым был забор ликвиды вверх, значит формация ростовая, а не распределение									
21055	342468	https://t.me/rawa_imagination/21055?comment=342468	342466	[342466] откудова эти объемы ← [post]	anon	это спот									
21055	342489	https://t.me/rawa_imagination/21055?comment=342489	342488	[342488] ну так первичный альтсезон это не финальная вспышка цикла, тут все скромнее обычно. ← [342486] да блин, а говорили достаточно, чтобы биток не падал )	u2	и где вы видите эфир в рамках этого этапа?	эфир (ambiguous)								
21055	342465	https://t.me/rawa_imagination/21055?comment=342465	342463	[342463] его задача при альтсезоне просто не падать ← [342461] А биток жует сопли ← [post]	u2	А может биток расти, а альты при этом расти гораздо сильнее?									
21055	342507	https://t.me/rawa_imagination/21055?comment=342507	post	[post]	u7	Жду не дождусь, когда ETH перевалит за отметку в $5 тысяч, чтобы я мог рекомендовать его к покупке своим друзьям и знакомым.	ETH (confirmed)								
21055	342492	https://t.me/rawa_imagination/21055?comment=342492	342491	[342491] Так а биткоин по 300 к на каком этапе ? 👀 ← [342490] до 4к дотянется - будет уже хорошо,	u5	на том этапе, где он остался только у сейлора									
