id	link	агент: relevance	агент: тип реплики	заметка агента	в бриф
380287	https://t.me/don_invest/5299?comment=380287	relevant	предложение	Предлагает добавить в подборку WL BiTFoot (бигфутов); в посте это п. 7 списка ZEC-коллекций	да, часть обсуждения подборки
380288	https://t.me/don_invest/5299?comment=380288	relevant	вопрос	Просит ссылку; сам по себе без содержания, смысл в цепочке 380287→380289	нет, служебная реплика
380289	https://t.me/don_invest/5299?comment=380289	relevant	ответ	Ссылка на x.com BITFOOTS и сомнение, не поздно ли по дедлайну	да, опыт: дедлайны WL
380294	https://t.me/don_invest/5299?comment=380294	relevant	ответ	Дедлайн zeclers через 4 часа; модель пишет zeclers, в посте zeckers — опечатка автора, не модели	да, опыт: дедлайны WL
380295	https://t.me/don_invest/5299?comment=380295	relevant	вопрос	Спрашивает, достаточно ли подключить кошелёк; ответ на 380288, а не на 380289 — к какой коллекции относится, неясно	да, вопрос о процедуре WL
380318	https://t.me/don_invest/5299?comment=380318	relevant	вопрос	«Этот же кош?» — к посту. Модель раскрыла как Zodl (кошелёк из поста); догадка, но единственный кошелёк в посте	да, вопрос о кошельке
380319	https://t.me/don_invest/5299?comment=380319	relevant	ответ	«Да» — подтверждает 380318; без родителя пусто	нет, служебная реплика
380326	https://t.me/don_invest/5299?comment=380326	relevant	опыт	Пользуется этим кошельком (Zodl), удобный	да, опыт: кошелёк
380335	https://t.me/don_invest/5299?comment=380335	relevant	ответ	Ссылка на чекер zeckers; автор 449436110 дописывает upd. к списку поста — похоже на автора подборки (не проверено)	да, как новость о чекере
380336	https://t.me/don_invest/5299?comment=380336	relevant	вопрос	Сайт просит другой кошелёк, хотя подключал Zodl	да, вопрос/жалоба о кошельке
380337	https://t.me/don_invest/5299?comment=380337	relevant	опыт	Не успел, форма закрыта	да, опыт: дедлайны WL
380338	https://t.me/don_invest/5299?comment=380338	relevant	дополнение	upd. к подборке: ZecVision, OttoClub; тот же автор, что 380335	да, как дополнение поста; голос автора подборки
380350	https://t.me/don_invest/5299?comment=380350	relevant	вопрос	Почти всё прошёл, как узнать результаты WL	да, вопрос о WL
380369	https://t.me/don_invest/5299?comment=380369	relevant	дополнение	upd. к подборке: Wizards; тот же автор	да, как дополнение поста; голос автора подборки
380370	https://t.me/don_invest/5299?comment=380370	relevant	мнение	zeckers «кажется скам, ни одной продажи»; ответ на 380335	да, мнение о коллекции
380296	https://t.me/don_invest/5299?comment=380296	не решено	ссылка	Ссылка z.cash/ecosystem ?wallets, медиа, родитель 380286 вне базы; остаётся отложенной: опору по домену не вводим без реестра доменов или решения ревьюера	нет, остаётся отложенной
