# Labelling sheet for https://t.me/don_invest/5296. Rules: pulse_label_instructions_v2.md (contract v2). No model output here.
# post: У кого хорошая видеокарта, пробуйте замайнить кота: https://hashcats.fun/mine Продажи от 400$ на opensea https://opensea.io/collection/hash-cats upd. нужно было заранее иметь 5-10 серверов с 5090 картами, тогда б было интересно. поищу себе недорогие варианты под такие случаи на будущее.
comment_id	link	reply_to	author	text	topic_relation	mention	subject	evidence_ids	aspect	claim	stance	borderline	note
379741	https://t.me/don_invest/5296?comment=379741	post	u1	я походу мимо с своей тоже									
379744	https://t.me/don_invest/5296?comment=379744	post	u2	Я со своей 1660 super...									
379745	https://t.me/don_invest/5296?comment=379745	post	u3	а реально нагрузка идет какая то? я включил, вроде ниче)									
379746	https://t.me/don_invest/5296?comment=379746	379744	u4	чертолет) щас на пропеллерах нахуй из дома улетит									
379747	https://t.me/don_invest/5296?comment=379747	379745	u1	да, у меня грузит нормально так компьютер но и 8 часов показывает до минта									
379748	https://t.me/don_invest/5296?comment=379748	379745	u5	rx 7800xt 100% 67 градусов									
379750	https://t.me/don_invest/5296?comment=379750	379746	u2	Без мата пожалуйста)									
379752	https://t.me/don_invest/5296?comment=379752	379748	u1	 [media]									
379753	https://t.me/don_invest/5296?comment=379753	379741	u6	Там тип фермой все забирает									
379754	https://t.me/don_invest/5296?comment=379754	379748	u1	мне лучше выключить, да?									
379755	https://t.me/don_invest/5296?comment=379755	post	u1	сейчас попробую купить сервер быстро									
379758	https://t.me/don_invest/5296?comment=379758	379755	u7	О, интересно, расскажешь, если стоит того									
379759	https://t.me/don_invest/5296?comment=379759	379754	u5	я сам только 10 мин как включил но 88 градусов многовато если там 10+ часов висит минт у меня 14 пишет									
379760	https://t.me/don_invest/5296?comment=379760	post	u5	как будто стоит выключить в таком случае									
379761	https://t.me/don_invest/5296?comment=379761	post	u5	поздновато мы конечно									
379762	https://t.me/don_invest/5296?comment=379762	379753	u1	хорошо ему, ферма дорогая должна быть									
379763	https://t.me/don_invest/5296?comment=379763	379762	u6	Не очень. Думаю на ферме из 8 видях, которые майнят что-то забирать этих котов на раз два. Но скорей всего он знал запуск, взял в аренду карты и вперед.									
