id	link	parent_id	text	model_relevance	model_aspect	model_kind	model_summary	why_disputed (агентская заметка, не человеческая)
150552	https://t.me/icodrops_sergey/2426?comment=150552		Скоро шорт зека озолотит поколение.. 😂😂	relevant	market	opinion	Иронично предполагает, что скоро шорт ZEC озолотит поколение.	«зека» — ZEC, но детектор его не нашёл (нет в mentions); relevance держится только на посте. «зек» ещё и жаргон
150566	https://t.me/icodrops_sergey/2426?comment=150566	150564	Это если все начнут чейны закрывать и в приватность уйдут, а зек как ледокол всех за собой поведет.	relevant	market	opinion	Считает, что 70k будет, если все начнут закрывать чейны и уйдут в приватность, а ZEC поведёт за собой.	«зек как ледокол» — детектор не нашёл ZEC; связь через цепочку и слово, которое детектор пропустил
150564	https://t.me/icodrops_sergey/2426?comment=150564	150563	Я думаю 70к вполне реально, за битком пойдем, но придется подождать конечно	relevant	market	opinion	Считает, что 70k вполне реально, за битком пойдут, но придётся подождать.	«70к … за битком пойдем»: чья это цена — ZEC или уровень BTC — из текста не ясно; в пересказе «пойдут» вместо «пойдём»
150567	https://t.me/icodrops_sergey/2426?comment=150567		#мнекажетсявсемпохуй	relevant	market	opinion	Считает, что всем всё равно на ZEC.	реплика — только хэштег #мнекажетсявсемпохуй; пересказ добавляет «на ZEC» по посту
150573	https://t.me/icodrops_sergey/2426?comment=150573	150557	Нам то что с того. Покупать сейчас что бы сделать х2 на $100 ну даже х5 от текущих будет... Это что то поменяет	relevant	market	opinion	Спрашивает, что изменит покупка сейчас для x2 или x5 от текущих цен.	kind=opinion, а пересказ «Спрашивает…»: риторический вопрос, kind и пересказ расходятся
150556	https://t.me/icodrops_sergey/2426?comment=150556	150550	Серёга первый раз купил по 150 и он падал до 125	relevant	market	experience	Рассказывает, что Серёга первый раз купил по 150, и цена падала до 125.	kind=experience, но это факт о Серёге (видимо, авторе канала), а не опыт самого автора реплики
150576	https://t.me/icodrops_sergey/2426?comment=150576	150548	сигнал был тут https://t.me/icodrops_sergey/2105	relevant	market	experience	Указывает, что сигнал был по ссылке.	«сигнал был тут» + ссылка: смысл в чужом посте; relevant/market спорно
150652	https://t.me/icodrops_sergey/2426?comment=150652	150651	в цифровом рубле	unrelated		other		«в цифровом рубле» — ироничный ответ на тезис о приватности ZEC; модель: unrelated, возможно relevant
150570	https://t.me/icodrops_sergey/2426?comment=150570	150569	затаился в накоплении. не сейчас так через год 2 5 10. нк или сдохнет, тут 67 процентов	unrelated		other		про DASH («младший брат ZEC»); модель: unrelated — спорно, ZEC лишь точка сравнения
150575	https://t.me/icodrops_sergey/2426?comment=150575	150569	Весь секрет в деньгах и связях. Если у команд/холдеров нет ни первого ни второго, то младший брат просто надузит в ползунки	unrelated		other		про DASH как «младшего брата» ZEC; модель: unrelated — спорно
